Index,Words
236,"[Synset('sample.n.01'), Synset('sample_distribution.n.01'), Synset('sample.n.03'), Synset('sample.v.01')]"
237,"[Synset('modern.n.01'), Synset('modern.n.02'), Synset('modern.a.01'), Synset('mod.s.01'), Synset('modern.s.03'), Synset('advanced.s.03'), Synset('modern.s.05')]"
238,"[Synset('chalk.n.01'), Synset('chalk.n.02'), Synset('methamphetamine.n.01'), Synset('chalk.n.04'), Synset('chalk.v.01')]"
239,"[Synset('dressed_ore.n.01'), Synset('concentrate.n.02'), Synset('concentrate.n.03'), Synset('concentrate.v.01'), Synset('concentrate.v.02'), Synset('centralize.v.01'), Synset('digest.v.07'), Synset('concentrate.v.05'), Synset('condense.v.07'), Synset('boil_down.v.02'), Synset('reduce.v.18')]"
240,"[Synset('proud.a.01'), Synset('gallant.s.03')]"
241,"[Synset('termination.n.01'), Synset('passing.n.02'), Synset('exhalation.n.02')]"
242,"[Synset('battery.n.01'), Synset('battery.n.02'), Synset('battery.n.03'), Synset('battery.n.04'), Synset('battery.n.05'), Synset('barrage.n.02'), Synset('battery.n.07')]"
243,"[Synset('century.n.01'), Synset('hundred.n.01')]"
244,"[Synset('differ.v.01'), Synset('disagree.v.01')]"
245,[Synset('awful.s.02')]
246,"[Synset('ferocious.s.01'), Synset('fierce.s.02'), Synset('cutthroat.s.01'), Synset('boisterous.s.03')]"
247,"[Synset('residence.n.01'), Synset('residence.n.02'), Synset('residency.n.01'), Synset('mansion.n.02')]"
248,"[Synset('slake.v.02'), Synset('abate.v.02')]"
249,"[Synset('scattering.n.01'), Synset('scattering.n.02'), Synset('scattering.n.03'), Synset('dispersion.n.01'), Synset('scatter.n.02'), Synset('disperse.v.02'), Synset('disperse.v.04'), Synset('scatter.v.03'), Synset('scatter.v.04'), Synset('break_up.v.17'), Synset('spread.v.07')]"
250,"[Synset('tumble.v.01'), Synset('topple.v.02')]"
251,"[Synset('weathervane.n.01'), Synset('vane.n.02'), Synset('blade.n.08'), Synset('vane.n.04')]"
252,"[Synset('whirl.n.02'), Synset('whirlpool.n.01')]"
253,"[Synset('disruptive.s.01'), Synset('churning.s.02')]"
254,"[Synset('obstacle.n.01'), Synset('obstacle.n.02')]"
255,"[Synset('continental.a.01'), Synset('continental.a.02'), Synset('continental.a.03'), Synset('continental.a.04')]"
256,[Synset('demeanor.n.01')]
257,"[Synset('exhibit.n.01'), Synset('display.n.02'), Synset('exhibit.v.01'), Synset('expose.v.03'), Synset('show.v.01'), Synset('parade.v.01')]"
258,"[Synset('agricultural.a.01'), Synset('agrarian.s.01')]"
259,[Synset('momentous.s.01')]
260,"[Synset('perturbation.n.03'), Synset('disturbance.n.02'), Synset('disturbance.n.03'), Synset('affray.n.02'), Synset('disturbance.n.05'), Synset('mental_disorder.n.01'), Synset('noise.n.03')]"
261,[Synset('crafty.s.01')]
262,[Synset('cub.n.01')]
263,"[Synset('transparency.n.01'), Synset('transparency.n.02'), Synset('foil.n.04')]"
264,[Synset('hazmat.n.01')]
265,"[Synset('antarctic.n.01'), Synset('south-polar.s.01')]"
266,"[Synset('aroma.n.02'), Synset('perfume.n.02'), Synset('perfume.v.01'), Synset('perfume.v.02')]"
267,"[Synset('braid.v.01'), Synset('plait.v.02')]"
268,"[Synset('writer.n.01'), Synset('writer.n.02')]"
269,"[Synset('series.n.01'), Synset('serial.n.01'), Synset('series.n.03'), Synset('series.n.04'), Synset('series.n.05'), Synset('series.n.06'), Synset('series.n.07')]"
270,"[Synset('audience.n.01'), Synset('audience.n.02'), Synset('hearing.n.02'), Synset('consultation.n.01')]"
271,"[Synset('insubstantial.a.01'), Synset('insubstantial.s.02')]"
272,"[Synset('stagger.v.01'), Synset('stagger.v.02'), Synset('stagger.v.03'), Synset('stagger.v.04')]"
273,"[Synset('aid.n.02'), Synset('aid.n.01')]"
274,"[Synset('sanitize.v.01'), Synset('sanitize.v.02'), Synset('sanitized.a.01')]"
275,"[Synset('decrease.v.01'), Synset('diminish.v.02'), Synset('diminished.s.01'), Synset('atrophied.a.01'), Synset('diminished.s.03'), Synset('belittled.s.01')]"
276,[Synset('organist.n.01')]
277,"[Synset('operator.n.01'), Synset('operator.n.02'), Synset('operator.n.03'), Synset('hustler.n.02'), Synset('operator.n.05')]"
278,[Synset('louisiana.n.01')]
279,"[Synset('ageless.s.01'), Synset('ceaseless.s.01')]"
280,"[Synset('blustering.s.01'), Synset('blustery.s.02')]"
281,[Synset('molar.n.01')]
282,"[Synset('arrange.v.01'), Synset('arrange.v.02'), Synset('stage.v.02'), Synset('format.v.01'), Synset('dress.v.16'), Synset('arrange.v.06'), Synset('arrange.v.07')]"
283,"[Synset('dissolve.v.01'), Synset('dissolve.v.02'), Synset('dissolve.v.03'), Synset('disband.v.02'), Synset('dissolve.v.05'), Synset('dissolve.v.06'), Synset('dissolve.v.07'), Synset('dissolve.v.08'), Synset('dissolve.v.09'), Synset('dissolve.v.10'), Synset('dissolve.v.11'), Synset('dissolved.s.01')]"
284,"[Synset('highly.r.01'), Synset('extremely.r.02')]"
285,"[Synset('plastic.n.01'), Synset('credit_card.n.01'), Synset('fictile.s.03'), Synset('plastic.s.02'), Synset('formative.s.02')]"
286,"[Synset('generation.n.07'), Synset('multiplication.n.02'), Synset('multiplication.n.03')]"
287,"[Synset('center.n.01'), Synset('middle.n.02'), Synset('middle.n.03'), Synset('middle.n.04'), Synset('middle.v.01'), Synset('in-between.s.01'), Synset('center.s.01'), Synset('middle.a.03'), Synset('middle.a.04')]"
288,"[Synset('reasonable.a.01'), Synset('fair.s.02'), Synset('reasonable.s.03')]"
289,"[Synset('cupboard.n.01'), Synset('water_closet.n.01'), Synset('wardrobe.n.01'), Synset('closet.n.04'), Synset('closet.v.01')]"
290,"[Synset('probe.n.01'), Synset('investigation.n.02')]"
291,"[Synset('accident.n.01'), Synset('accident.n.02')]"
292,"[Synset('discussion.n.01'), Synset('discussion.n.02')]"
293,"[Synset('confuse.v.01'), Synset('confuse.v.02'), Synset('confuse.v.03'), Synset('jumble.v.02'), Synset('confuse.v.05'), Synset('baffled.s.01'), Synset('confused.s.02'), Synset('confused.s.03'), Synset('broken.s.08'), Synset('confused.a.05')]"
294,"[Synset('microwave.n.01'), Synset('microwave.n.02'), Synset('microwave.v.01')]"
295,[Synset('gabled.a.01')]
296,"[Synset('settle.n.01'), Synset('settle.v.01'), Synset('decide.v.02'), Synset('settle.v.03'), Synset('settle.v.04'), Synset('reconcile.v.03'), Synset('sink.v.04'), Synset('settle.v.07'), Synset('settle.v.08'), Synset('settle.v.09'), Synset('settle.v.10'), Synset('settle.v.11'), Synset('settle.v.12'), Synset('settle.v.13'), Synset('settle.v.14'), Synset('settle.v.15'), Synset('settle.v.16'), Synset('subside.v.03'), Synset('ensconce.v.01'), Synset('settle.v.19'), Synset('finalize.v.01'), Synset('settle.v.21'), Synset('fall.v.32')]"
297,"[Synset('drab.s.02'), Synset('somber.s.02')]"
298,"[Synset('drab.s.02'), Synset('somber.s.02')]"
299,"[Synset('tamper.v.01'), Synset('meddle.v.01')]"
300,"[Synset('loyal.a.01'), Synset('patriotic.a.01'), Synset('firm.s.10')]"
301,"[Synset('remarkable.s.01'), Synset('noteworthy.s.02')]"
302,[Synset('joist.n.01')]
303,"[Synset('scramble.v.01'), Synset('clamber.v.01'), Synset('scramble.v.03'), Synset('beat.v.10'), Synset('scramble.v.05')]"
304,"[Synset('inspector.n.01'), Synset('examiner.n.02')]"
305,"[Synset('straiten.v.01'), Synset('distress.v.02'), Synset('distressed.s.01'), Synset('dysphoric.a.01'), Synset('stressed.s.01'), Synset('disquieted.s.01')]"
306,"[Synset('smudge.n.01'), Synset('smudge.n.02'), Synset('smear.v.02')]"
307,"[Synset('accelerator.n.02'), Synset('accelerator.n.01'), Synset('restrict.v.03'), Synset('strangle.v.01'), Synset('choke.v.13')]"
308,"[Synset('perfection.n.01'), Synset('paragon.n.01'), Synset('perfection.n.03')]"
309,"[Synset('capable.a.01'), Synset('capable.s.02'), Synset('capable.a.03'), Synset('adequate_to.s.01'), Synset('able.s.02')]"
310,[Synset('appliance.n.01')]
311,"[Synset('channel.n.01'), Synset('channel.n.02'), Synset('groove.n.01'), Synset('channel.n.04'), Synset('channel.n.05'), Synset('duct.n.01'), Synset('channel.n.07'), Synset('distribution_channel.n.01'), Synset('impart.v.03'), Synset('channel.v.02'), Synset('transmit.v.04')]"
312,"[Synset('chisel.n.01'), Synset('cheat.v.03'), Synset('cheat.v.01'), Synset('chisel.v.03')]"
313,"[Synset('chimney.n.01'), Synset('lamp_chimney.n.01')]"
314,[Synset('minnow.n.01')]
315,"[Synset('sphere.n.01'), Synset('domain.n.02'), Synset('domain.n.03'), Synset('world.n.02'), Synset('knowledge_domain.n.01')]"
316,"[Synset('shuffle.n.01'), Synset('shamble.n.01'), Synset('shuffle.v.01'), Synset('shuffle.v.02'), Synset('shuffle.v.03')]"
317,"[Synset('carpenter.n.01'), Synset('carpenter.v.01')]"
318,"[Synset('pruner.n.01'), Synset('pruner.n.02')]"
319,"[Synset('package.n.02'), Synset('parcel.n.02'), Synset('tract.n.01'), Synset('package.n.01'), Synset('parcel.v.01'), Synset('parcel.v.02'), Synset('parcel.v.03')]"
320,"[Synset('squawk.n.01'), Synset('gripe.n.01'), Synset('squawk.v.01'), Synset('gripe.v.01')]"
321,[Synset('sheetrock.n.01')]
322,"[Synset('trowel.n.01'), Synset('trowel.v.01')]"
323,"[Synset('nervous.s.01'), Synset('anxious.s.02'), Synset('nervous.a.03'), Synset('aflutter.s.01'), Synset('skittish.s.01')]"
324,"[Synset('spirit.n.01'), Synset('spirit.n.02'), Synset('spirit.n.03'), Synset('spirit.n.04'), Synset('emotional_state.n.01'), Synset('intent.n.02'), Synset('liveliness.n.02'), Synset('heart.n.06'), Synset('spirit.v.01')]"
325,"[Synset('equator.n.01'), Synset('equator.n.02')]"
326,"[Synset('evidence.n.01'), Synset('evidence.n.02'), Synset('evidence.n.03'), Synset('attest.v.01'), Synset('testify.v.02'), Synset('tell.v.07')]"
327,[Synset('solar.a.01')]
328,"[Synset('research.v.02'), Synset('explore.v.02'), Synset('explore.v.03'), Synset('explore.v.04')]"
329,"[Synset('distance.n.01'), Synset('distance.n.02'), Synset('distance.n.03'), Synset('distance.n.04'), Synset('distance.n.05'), Synset('distance.n.06'), Synset('distance.v.01'), Synset('outdistance.v.01')]"
330,"[Synset('mistake.n.01'), Synset('defect.n.03'), Synset('demerit.n.02'), Synset('fault.n.04'), Synset('fault.n.05'), Synset('fault.n.06'), Synset('fault.n.07'), Synset('blame.v.01')]"
331,[Synset('settler.n.01')]
332,"[Synset('prudence.n.01'), Synset('discretion.n.02')]"
333,"[Synset('assembly.n.01'), Synset('fabrication.n.04'), Synset('forum.n.02'), Synset('assembly.n.04'), Synset('assembly.n.05'), Synset('assembly.n.06')]"
334,[Synset('sheriff.n.01')]
335,"[Synset('loiter.v.01'), Synset('tarry.v.02'), Synset('pitchy.s.02')]"
336,[Synset('entity.n.01')]
337,"[Synset('archives.n.01'), Synset('archive.n.01'), Synset('archive.v.01')]"
338,"[Synset('disturbance.n.03'), Synset('commotion.n.02'), Synset('whirl.n.01')]"
339,"[Synset('vacancy.n.01'), Synset('void.n.02')]"
340,[]
341,[Synset('mutate.v.01')]
342,"[Synset('platitude.n.01'), Synset('commonplace.s.01'), Synset('commonplace.s.02'), Synset('banal.s.01')]"
343,[Synset('gingerbread.n.01')]
344,"[Synset('dispute.n.01'), Synset('dispute.n.02'), Synset('challenge.v.01'), Synset('quarrel.v.01')]"
345,"[Synset('episode.n.01'), Synset('episode.n.02'), Synset('episode.n.03'), Synset('sequence.n.03')]"
346,"[Synset('sweet.n.03'), Synset('confection.n.02'), Synset('confect.v.02')]"
347,"[Synset('autograph.n.01'), Synset('autograph.n.02'), Synset('autograph.v.01')]"
348,"[Synset('petite.n.01'), Synset('bantam.s.01')]"
349,"[Synset('station.n.01'), Synset('place.n.10'), Synset('station.n.03'), Synset('post.n.01'), Synset('station.n.05'), Synset('station.v.01')]"
350,[Synset('lacrosse.n.01')]
351,[Synset('mcintosh.n.01')]
352,"[Synset('ignoble.a.01'), Synset('ignoble.s.02')]"
353,[Synset('perspiration.n.02')]
354,[Synset('kurta.n.01')]
355,[Synset('hyperion.n.01')]
356,"[Synset('withers.n.01'), Synset('shrivel.v.01'), Synset('fade.v.02')]"
357,[Synset('geiger.n.01')]
358,[]
359,[Synset('gannet.n.01')]
360,[Synset('palladium.n.01')]
361,"[Synset('brevet.n.01'), Synset('brevet.v.01')]"
362,"[Synset('booklet.n.01'), Synset('tract.n.03')]"
363,[Synset('palindrome.n.01')]
364,[]
365,"[Synset('satsuma.n.01'), Synset('satsuma.n.02')]"
366,"[Synset('stirrup.n.01'), Synset('stapes.n.01')]"
367,[]
368,"[Synset('abundance.n.01'), Synset('abundance.n.02'), Synset('abundance.n.03')]"
369,[Synset('black.s.06')]
370,[]
371,"[Synset('announcement.n.01'), Synset('proclamation.n.02')]"
372,[Synset('nonsense.n.01')]
373,[Synset('colossal.s.01')]
374,[Synset('columbite-tantalite.n.01')]
375,"[Synset('squadron.n.01'), Synset('squadron.n.02'), Synset('squadron.n.03')]"
376,[Synset('marinade.v.01')]
377,"[Synset('anagrams.n.01'), Synset('anagram.n.01'), Synset('anagram.v.01')]"
378,[Synset('veranda.n.01')]
379,[Synset('veranda.n.01')]
380,[Synset('himalayan.a.01')]
381,[Synset('all_right.s.01')]
382,"[Synset('aspersion.n.01'), Synset('aspersion.n.02'), Synset('aspersion.n.03')]"
383,"[Synset('culminate.v.01'), Synset('culminate.v.02'), Synset('culminate.v.03'), Synset('culminate.v.04'), Synset('culminate.v.05')]"
384,[Synset('helium.n.01')]
385,[]
386,[Synset('teflon.n.01')]
387,"[Synset('bantam.n.01'), Synset('bantam.s.01')]"
388,"[Synset('apprentice.n.01'), Synset('apprentice.v.01')]"
389,"[Synset('loath.s.01'), Synset('reluctant.s.02'), Synset('reluctant.s.03')]"
390,"[Synset('heritage.n.01'), Synset('inheritance.n.04'), Synset('inheritance.n.02'), Synset('inheritance.n.01')]"
391,[Synset('sojourner.n.01')]
392,[Synset('derogative.s.01')]
393,"[Synset('paralysis.n.01'), Synset('palsy.n.02'), Synset('palsy.v.01')]"
394,[Synset('lascaux.n.01')]
395,[Synset('synesthesia.n.01')]
396,[Synset('synesthesia.n.01')]
397,[Synset('nefarious.s.01')]
398,[Synset('halogen.n.01')]
399,[Synset('gallium.n.01')]
400,[Synset('smelter.n.01')]
401,[Synset('hymnal.n.01')]
402,[Synset('tartaric.a.01')]
403,[]
404,"[Synset('haitian.n.01'), Synset('haitian.a.01')]"
405,"[Synset('divan.n.01'), Synset('divan.n.02'), Synset('divan.n.03'), Synset('divan.n.04')]"
406,[Synset('badminton.n.01')]
407,"[Synset('bayonet.n.01'), Synset('bayonet.v.01')]"
408,"[Synset('currycomb.n.01'), Synset('currycomb.v.01')]"
409,[Synset('disdainful.s.02')]
410,"[Synset('hesitate.v.01'), Synset('hesitate.v.02')]"
411,[Synset('opportunity.n.01')]
412,[Synset('apollo.n.01')]
413,"[Synset('accord.n.02'), Synset('accordance.n.02')]"
414,[Synset('atmospheric.a.01')]
415,"[Synset('levee.n.01'), Synset('levee.n.02'), Synset('levee.n.03')]"
416,[Synset('precariously.r.01')]
417,"[Synset('proportionate.a.01'), Synset('proportionate.s.02'), Synset('harmonious.s.02')]"
418,"[Synset('suffuse.v.01'), Synset('suffuse.v.02')]"
419,"[Synset('accelerate.v.01'), Synset('accelerate.v.02')]"
420,"[Synset('coincidence.n.01'), Synset('coincidence.n.02'), Synset('concurrence.n.04')]"
421,"[Synset('esteemed.s.01'), Synset('prestigious.s.02')]"
422,"[Synset('emphatic.s.01'), Synset('emphatic.s.02'), Synset('emphatic.s.03')]"
423,"[Synset('pollute.v.01'), Synset('contaminate.v.02'), Synset('contaminated.a.01'), Synset('contaminated.s.02')]"
424,"[Synset('madagascar.n.01'), Synset('madagascar.n.02')]"
425,"[Synset('exposure.n.01'), Synset('exposure.n.02'), Synset('exposure.n.03'), Synset('exposure.n.04'), Synset('vulnerability.n.01'), Synset('exposure.n.06'), Synset('photograph.n.01'), Synset('exposure.n.08'), Synset('exposure.n.09'), Synset('exposure.n.10')]"
426,[Synset('chute.v.01')]
427,[Synset('sporadically.r.01')]
428,"[Synset('intrigue.v.01'), Synset('scheme.v.01'), Synset('challenging.s.03'), Synset('intriguing.s.02')]"
429,[Synset('absorbent.a.01')]
430,"[Synset('inexplicable.a.01'), Synset('incomprehensible.a.02')]"
431,[Synset('merrimack.n.01')]
432,"[Synset('sinai.n.01'), Synset('sinai.n.02'), Synset('sinai.n.03')]"
433,[Synset('misdemeanor.n.01')]
434,[Synset('misdemeanor.n.01')]
435,"[Synset('asparagus.n.01'), Synset('asparagus.n.02')]"
436,"[Synset('consolation.n.01'), Synset('solace.n.02'), Synset('consolation.n.02'), Synset('comfort.v.01')]"
437,[]
438,[Synset('guanine.n.01')]
439,[]
440,"[Synset('remedy.n.02'), Synset('curative.s.01'), Synset('therapeutic.a.02')]"
441,[Synset('disruptive.s.01')]
442,[Synset('commodore.n.01')]
443,[Synset('dramatist.n.01')]
444,[Synset('doddering.s.01')]
445,[Synset('laryngitis.n.01')]
446,[Synset('proximo.s.01')]
447,[Synset('guerrilla.n.01')]
448,[Synset('guerrilla.n.01')]
449,[Synset('giza.n.01')]
450,"[Synset('fastness.n.02'), Synset('immutability.n.01')]"
451,"[Synset('jodhpurs.n.01'), Synset('jodhpur.n.01')]"
452,[Synset('mercury.n.01')]
453,[]
454,[Synset('denunciation.n.01')]
455,"[Synset('columbia.n.01'), Synset('columbia.n.02'), Synset('columbia.n.03'), Synset('columbia.n.04'), Synset('columbia_university.n.01')]"
